case_id,physical_field_change_count,physical_fields,path_field_change_count,path_fields,status_change,termination_change
dew_ch4_c2_c3_80_10_10_250k,6,incipient_composition|saturation_pressure_pa|k_values|log_k_values|selected_parent_root|selected_incipient_root,0,,false,false
dew_ch4_c2_forward_200_220,7,incipient_composition|saturation_pressure_pa|k_values|log_k_values|selected_parent_root|selected_incipient_root|branch_points,1,rejected_attempts,false,false
dew_ch4_c3_20_80_180k,7,incipient_composition|saturation_pressure_pa|k_values|log_k_values|selected_parent_root|selected_incipient_root|objective_residual,2,inner_iterations|outer_iterations,false,false
dew_ch4_c3_20_80_250k,6,incipient_composition|saturation_pressure_pa|k_values|log_k_values|selected_parent_root|selected_incipient_root,0,,false,false
dew_ch4_c3_50_50_180k,6,incipient_composition|saturation_pressure_pa|k_values|log_k_values|selected_parent_root|selected_incipient_root,2,inner_iterations|outer_iterations,false,false
dew_ch4_c3_50_50_250k,6,incipient_composition|saturation_pressure_pa|k_values|log_k_values|selected_parent_root|selected_incipient_root,1,inner_iterations,false,false
dew_ch4_c3_60_40_180k,6,incipient_composition|saturation_pressure_pa|k_values|log_k_values|selected_parent_root|selected_incipient_root,2,inner_iterations|outer_iterations,false,false
dew_ch4_c3_60_40_250k,6,incipient_composition|saturation_pressure_pa|k_values|log_k_values|selected_parent_root|selected_incipient_root,1,inner_iterations,false,false
dew_ch4_c3_60_40_250k_physical_branch,6,incipient_composition|saturation_pressure_pa|k_values|log_k_values|selected_parent_root|selected_incipient_root,1,inner_iterations,false,false
dew_ch4_c3_80_20_180k,6,incipient_composition|saturation_pressure_pa|k_values|log_k_values|selected_parent_root|selected_incipient_root,2,inner_iterations|outer_iterations,false,false
dew_ch4_c3_80_20_250k,6,incipient_composition|saturation_pressure_pa|k_values|log_k_values|selected_parent_root|selected_incipient_root,0,,false,false
dew_ch4_c3_forward_230_250,7,incipient_composition|saturation_pressure_pa|k_values|log_k_values|selected_parent_root|selected_incipient_root|branch_points,1,rejected_attempts,false,false
dew_pure_methane_reverse_170_150,4,saturation_pressure_pa|selected_parent_root|selected_incipient_root|branch_points,1,rejected_attempts,false,false
dew_ternary_forward_200_220,7,incipient_composition|saturation_pressure_pa|k_values|log_k_values|selected_parent_root|selected_incipient_root|branch_points,1,rejected_attempts,false,false
flash_ch4_c2_20_80_180k_0p5mpa,8,beta|liquid_composition|vapor_composition|k_values|log_k_values|liquid_root|vapor_root|fugacity_residual,0,,false,false
flash_ch4_c2_20_80_180k_5mpa,3,k_values|log_k_values|selected_parent_root,0,,false,false
flash_ch4_c2_20_80_250k_0p5mpa,3,k_values|log_k_values|selected_parent_root,0,,false,false
flash_ch4_c2_20_80_250k_5mpa,3,k_values|log_k_values|selected_parent_root,0,,false,false
flash_ch4_c2_20_80_reversed_250k_2mpa,8,beta|liquid_composition|vapor_composition|k_values|log_k_values|liquid_root|vapor_root|fugacity_residual,0,,false,false
flash_ch4_c2_50_50_180k_0p5mpa,8,beta|liquid_composition|vapor_composition|k_values|log_k_values|liquid_root|vapor_root|fugacity_residual,0,,false,false
flash_ch4_c2_50_50_180k_5mpa,3,k_values|log_k_values|selected_parent_root,0,,false,false
flash_ch4_c2_50_50_250k_0p5mpa,3,k_values|log_k_values|selected_parent_root,0,,false,false
flash_ch4_c2_50_50_250k_5mpa,8,beta|liquid_composition|vapor_composition|k_values|log_k_values|liquid_root|vapor_root|fugacity_residual,0,,false,false
flash_ch4_c2_50_50_reversed_250k_2mpa,3,k_values|log_k_values|selected_parent_root,0,,false,false
flash_ch4_c2_80_20_180k_0p5mpa,8,beta|liquid_composition|vapor_composition|k_values|log_k_values|liquid_root|vapor_root|fugacity_residual,0,,false,false
flash_ch4_c2_80_20_180k_5mpa,3,k_values|log_k_values|selected_parent_root,0,,false,false
flash_ch4_c2_80_20_250k_0p5mpa,3,k_values|log_k_values|selected_parent_root,0,,false,false
flash_ch4_c2_80_20_250k_5mpa,3,k_values|log_k_values|selected_parent_root,0,,false,false
flash_ch4_c2_c3_40_40_20_180k_0p5mpa,7,beta|liquid_composition|vapor_composition|k_values|log_k_values|liquid_root|vapor_root,0,,false,false
flash_ch4_c2_c3_40_40_20_180k_5mpa,3,k_values|log_k_values|selected_parent_root,0,,false,false
flash_ch4_c2_c3_40_40_20_250k_0p5mpa,3,k_values|log_k_values|selected_parent_root,0,,false,false
flash_ch4_c2_c3_40_40_20_250k_5mpa,7,beta|liquid_composition|vapor_composition|k_values|log_k_values|liquid_root|vapor_root,0,,false,false
flash_ch4_c2_c3_60_30_10_180k_0p5mpa,7,beta|liquid_composition|vapor_composition|k_values|log_k_values|liquid_root|vapor_root,0,,false,false
flash_ch4_c2_c3_60_30_10_180k_5mpa,3,k_values|log_k_values|selected_parent_root,0,,false,false
flash_ch4_c2_c3_60_30_10_250k_0p5mpa,3,k_values|log_k_values|selected_parent_root,0,,false,false
flash_ch4_c2_c3_60_30_10_250k_5mpa,8,beta|liquid_composition|vapor_composition|k_values|log_k_values|liquid_root|vapor_root|fugacity_residual,0,,false,false
flash_ch4_c2_c3_60_30_10_reversed_250k_2mpa,8,beta|liquid_composition|vapor_composition|k_values|log_k_values|liquid_root|vapor_root|fugacity_residual,0,,false,false
flash_ch4_c2_c3_80_10_10_180k_0p5mpa,8,beta|liquid_composition|vapor_composition|k_values|log_k_values|liquid_root|vapor_root|fugacity_residual,0,,false,false
flash_ch4_c2_c3_80_10_10_180k_5mpa,3,k_values|log_k_values|selected_parent_root,0,,false,false
flash_ch4_c2_c3_80_10_10_250k_0p5mpa,3,k_values|log_k_values|selected_parent_root,0,,false,false
