component_id,canonical_name,aliases,property,value,unit,source_status,source_reference_name,property_source_identity,citation_text,url,doi,edition_or_version,notes,original_unit,conversion
methane,Methane,CH4|C1,critical_temperature,190.56,K,provisional,pre-Module-16 commit 248787a93e506bab9e11c6ac38ddbe2eb744012b src/pvt_phase_simulator/fluid_models.py,,,,,,Legacy repository provisional value; original authoritative source confirmation is absent.,,
methane,Methane,CH4|C1,critical_pressure,4599200.0,Pa,provisional,pre-Module-16 commit 248787a93e506bab9e11c6ac38ddbe2eb744012b src/pvt_phase_simulator/fluid_models.py,,,,,,Legacy repository provisional value; original authoritative source confirmation is absent.,,
methane,Methane,CH4|C1,acentric_factor,0.011,1,provisional,pre-Module-16 commit 248787a93e506bab9e11c6ac38ddbe2eb744012b src/pvt_phase_simulator/fluid_models.py,,,,,,Legacy repository provisional value; original authoritative source confirmation is absent.,,
ethane,Ethane,C2H6|C2,critical_temperature,305.32,K,provisional,pre-Module-16 commit 248787a93e506bab9e11c6ac38ddbe2eb744012b src/pvt_phase_simulator/fluid_models.py,,,,,,Legacy repository provisional value; original authoritative source confirmation is absent.,,
ethane,Ethane,C2H6|C2,critical_pressure,4872000.0,Pa,provisional,pre-Module-16 commit 248787a93e506bab9e11c6ac38ddbe2eb744012b src/pvt_phase_simulator/fluid_models.py,,,,,,Legacy repository provisional value; original authoritative source confirmation is absent.,,
ethane,Ethane,C2H6|C2,acentric_factor,0.099,1,provisional,pre-Module-16 commit 248787a93e506bab9e11c6ac38ddbe2eb744012b src/pvt_phase_simulator/fluid_models.py,,,,,,Legacy repository provisional value; original authoritative source confirmation is absent.,,
propane,Propane,C3H8|C3,critical_temperature,369.83,K,provisional,pre-Module-16 commit 248787a93e506bab9e11c6ac38ddbe2eb744012b src/pvt_phase_simulator/fluid_models.py,,,,,,Legacy repository provisional value; original authoritative source confirmation is absent.,,
propane,Propane,C3H8|C3,critical_pressure,4248000.0,Pa,provisional,pre-Module-16 commit 248787a93e506bab9e11c6ac38ddbe2eb744012b src/pvt_phase_simulator/fluid_models.py,,,,,,Legacy repository provisional value; original authoritative source confirmation is absent.,,
propane,Propane,C3H8|C3,acentric_factor,0.152,1,provisional,pre-Module-16 commit 248787a93e506bab9e11c6ac38ddbe2eb744012b src/pvt_phase_simulator/fluid_models.py,,,,,,Legacy repository provisional value; original authoritative source confirmation is absent.,,
